"trans_date_trans_time","category","amt","job","city","state","city_pop","dob","is_fraud"
"2020-05-26 01:17:40","misc_net",7.84,"Tourism officer","Esbon","KS",242,"1987-07-18",0
"2019-03-28 19:22:24","home",278.75,"Historic buildings inspector/conservation officer","Muskegon","MI",128715,"1995-05-25",0
"2019-12-30 17:37:20","entertainment",11.57,"Archaeologist","Lolita","TX",911,"1970-01-18",0
"2020-04-09 12:16:34","shopping_pos",1203.56,"Water engineer","Littleton","CO",320420,"1975-07-31",0
"2019-06-09 16:06:32","misc_pos",154.82,"Engineer, land","Alton","IA",1700,"2001-12-19",0
"2019-09-21 05:15:00","grocery_pos",103.69,"Communications engineer","Fenelton","PA",2054,"1976-09-29",0
"2019-09-02 14:25:31","personal_care",1.68,"Physicist, medical","Enola","AR",969,"1954-01-05",0
"2020-04-15 02:03:28","shopping_pos",1.65,"Exercise physiologist","Brantley","AL",2566,"1958-06-26",0
"2020-03-25 00:54:56","shopping_net",265.14,"Occupational hygienist","Saint Louis","MO",927396,"1960-03-12",0
"2019-01-12 22:54:42","health_fitness",48.68,"Engineer, land","Saint Petersburg","FL",341043,"1989-02-28",0
"2019-05-11 18:02:45","health_fitness",86.81,"Event organiser","Harborcreek","PA",2518,"1946-02-02",0
"2019-08-28 23:38:53","health_fitness",58.18,"Petroleum engineer","Superior","AZ",2872,"1987-10-28",0
"2019-01-08 09:14:02","misc_pos",14.73,"Licensed conveyancer","Watertown","MN",5619,"1959-01-15",0
"2019-11-07 20:45:42","shopping_pos",24.05,"Pathologist","Clarksville","TN",151785,"1974-03-28",0
"2019-07-10 13:28:29","health_fitness",8.18,"Psychologist, clinical","Dieterich","IL",2092,"1962-04-30",0
"2020-06-05 10:02:35","entertainment",35.35,"Audiological scientist","Parsonsfield","ME",1892,"1956-03-02",0
"2019-05-12 13:41:10","entertainment",129.99,"Probation officer","Keller","TX",95035,"1987-06-13",0
"2019-07-20 05:34:57","gas_transport",74.85,"Multimedia programmer","Deadwood","SD",1979,"1970-03-13",0
"2019-09-30 03:17:43","misc_net",179.29,"Physiotherapist","Moundsville","WV",16183,"1977-08-12",0
"2019-11-11 06:38:42","misc_net",8.17,"Exhibition designer","San Antonio","TX",1595797,"1975-12-28",0
"2020-03-02 21:40:11","personal_care",112.12,"Paramedic","Haw River","NC",6006,"1984-07-20",0
"2019-10-28 03:23:13","misc_net",2.42,"Diagnostic radiographer","Jefferson","NY",1666,"1968-07-01",0
"2020-04-28 16:17:53","food_dining",32.88,"Sub","Leonard","TX",4090,"1977-03-23",0
"2020-06-01 17:39:16","entertainment",48.1,"Amenity horticulturist","Roosevelt","OK",551,"1970-09-27",0
"2019-07-29 06:42:13","grocery_pos",104.3,"Fisheries officer","Summerfield","TX",53,"1992-06-19",0
"2019-07-07 20:35:03","home",103.65,"Occupational psychologist","Tomales","CA",337,"1954-07-05",0
"2019-01-03 13:04:16","kids_pets",28.57,"Barrister","Cascade Locks","OR",1288,"1936-05-01",0
"2020-05-10 18:53:50","travel",3.27,"Applications developer","North Prairie","WI",2328,"1942-01-06",0
"2019-12-17 06:55:09","grocery_net",28.84,"Public relations account executive","Meredith","CO",61,"1939-11-04",0
"2019-11-17 15:11:55","food_dining",7.92,"Comptroller","Cottekill","NY",722,"1990-10-19",0
"2020-01-06 19:58:58","home",201.56,"Camera operator","Birmingham","IA",888,"1988-03-25",0
"2020-02-06 18:38:45","food_dining",120.37,"Operations geologist","Kensington","MD",19054,"1976-09-08",0
"2020-02-28 14:17:36","shopping_pos",9.13,"Training and development officer","Jermyn","PA",6508,"1981-06-22",0
"2019-11-03 08:47:02","gas_transport",65.34,"Town planner","Luray","MO",519,"1966-02-13",0
"2019-08-12 19:30:18","shopping_pos",2.81,"Administrator, charities/voluntary organisations","Bristol","PA",21125,"1985-05-25",0
"2020-05-26 20:47:51","travel",3.62,"Hydrologist","Ash Flat","AR",2856,"1926-08-27",0
"2020-02-22 23:09:25","shopping_pos",4.28,"Trade mark attorney","Manistique","MI",6469,"1979-04-12",0
"2019-11-17 08:37:21","grocery_pos",62.49,"Radio broadcast assistant","Bessemer","AL",71463,"1989-02-08",0
"2019-12-09 17:30:43","kids_pets",9.01,"Furniture designer","Falmouth","MI",1126,"1955-07-06",0
"2019-06-02 09:29:03","shopping_pos",3.73,"Sales executive","Laguna Hills","CA",45303,"1969-12-22",0
"2019-03-04 20:26:01","misc_pos",4.64,"Advertising account planner","Glendale","CA",172817,"1982-07-30",0
"2020-05-12 11:12:23","misc_pos",64.56,"Sub","Hurricane","WV",21902,"1980-09-18",0
"2019-05-05 21:23:54","entertainment",32.53,"Call centre manager","Greenview","CA",308,"1958-09-20",0
"2019-09-25 19:17:39","kids_pets",97.35,"Equities trader","Cuyahoga Falls","OH",47772,"1966-01-04",0
"2020-01-26 12:25:49","home",19.34,"Accountant, chartered public finance","Tickfaw","LA",8512,"1951-09-03",0
"2019-09-06 17:09:04","kids_pets",35.17,"Occupational psychologist","Clayton","OK",1760,"1972-01-20",0
"2019-11-06 18:03:24","kids_pets",11.53,"Tourism officer","Esbon","KS",242,"1987-07-18",0
"2020-03-17 15:13:55","shopping_pos",8.25,"Probation officer","Keller","TX",95035,"1987-06-13",0
"2019-12-21 20:02:34","misc_pos",4.3,"Research scientist (physical sciences)","Bradley","SC",1523,"1984-06-03",0
"2019-01-28 05:17:03","shopping_pos",4.58,"Psychiatrist","Big Indian","NY",397,"1931-09-12",0
"2020-01-16 06:06:10","shopping_pos",5.53,"Radiographer, therapeutic","Lakeland","FL",237282,"1961-09-28",0
"2020-03-02 22:21:56","personal_care",8.38,"Accounting technician","Paxton","MA",4845,"1926-09-14",0
"2019-12-08 03:47:57","gas_transport",63.04,"Agricultural consultant","Princeton","IA",1426,"1957-03-06",0
"2020-03-07 01:24:15","shopping_net",114.12,"Tourist information centre manager","Meadville","MO",964,"1974-12-23",0
"2019-08-15 03:42:16","shopping_pos",6.58,"Physiological scientist","Gadsden","AL",67082,"1963-02-09",0
"2019-06-30 21:16:32","shopping_pos",1.11,"Horticulturist, commercial","Baroda","MI",3104,"1981-03-29",0
"2019-05-04 15:58:45","personal_care",46.74,"Research scientist (medical)","Norwich","OH",1443,"1962-03-04",0
"2019-12-14 13:31:12","food_dining",50.99,"Counsellor","Kansas City","MO",545147,"1987-11-18",0
"2019-11-17 17:28:38","home",33.94,"Financial trader","Coffeeville","MS",3451,"1984-05-19",0
"2019-12-02 02:36:00","grocery_net",50.16,"Sport and exercise psychologist","Saint James City","FL",3776,"1976-09-12",0
"2019-08-11 08:07:45","grocery_pos",137.29,"Interpreter","Ruth","NV",450,"1946-08-24",0
"2019-07-29 23:34:04","kids_pets",113.21,"Surveyor, minerals","Campbell","NE",493,"1940-09-13",0
"2019-04-11 23:21:33","personal_care",158.38,"Animal nutritionist","East Andover","ME",190,"1970-04-17",0
"2019-07-21 08:32:08","misc_net",12.71,"Primary school teacher","Port Saint Lucie","FL",181438,"1934-03-19",0
"2019-03-11 06:24:34","grocery_pos",98.97,"Psychotherapist","Breesport","NY",520,"1991-10-13",0
"2020-03-10 00:26:13","grocery_pos",207.21,"Records manager","Orangeburg","NY",5950,"1971-07-02",0
"2020-01-05 08:04:03","shopping_pos",5.95,"Accounting technician","Tallmansville","WV",571,"1967-09-16",0
"2019-08-25 07:31:04","grocery_pos",140.78,"Naval architect","Garrattsville","NY",165,"1945-09-20",0
"2019-07-15 19:43:12","entertainment",30.89,"Dealer","Weeping Water","NE",1517,"1951-11-08",0
"2019-06-24 16:28:28","personal_care",81.94,"Claims inspector/assessor","Avera","GA",741,"1986-04-28",0
"2019-08-30 06:01:59","gas_transport",46.19,"Retail banker","Andrews","IN",2304,"1955-07-25",0
"2019-07-24 16:21:50","home",80.03,"Petroleum engineer","Nazareth","TX",686,"1980-07-30",0
"2019-04-20 01:28:37","shopping_net",9.75,"Barrister","Cascade Locks","OR",1288,"1936-05-01",0
"2019-09-02 07:50:05","misc_net",2.8,"Company secretary","Pikesville","MD",33917,"1977-06-12",0
"2019-12-22 14:17:26","kids_pets",131.11,"Designer, interior/spatial","Dallas","TX",1263321,"1952-09-27",0
"2020-06-08 13:27:54","personal_care",6.55,"Engineer, electronics","Bowdoin","ME",3224,"1997-08-22",0
"2019-04-26 15:29:41","personal_care",67.94,"Teacher, English as a foreign language","Lebanon","VA",9521,"1977-10-19",0
"2019-12-23 03:48:39","gas_transport",41.01,"Librarian, academic","Mount Hope","AL",1312,"1955-02-01",0
"2019-03-11 06:53:15","grocery_pos",121.75,"Film/video editor","Shields","ND",77,"1989-12-17",0
"2019-02-01 00:22:58","shopping_net",6.56,"Scientific laboratory technician","South Londonderry","VT",828,"1957-08-30",0
"2019-11-30 17:20:21","shopping_pos",2.64,"Farm manager","Amanda","OH",4512,"1992-10-03",0
"2019-06-26 04:14:36","grocery_pos",86.19,"Therapist, occupational","Springfield","GA",9034,"1969-03-02",0
"2019-07-09 13:32:08","shopping_pos",9.5,"Chartered public finance accountant","Moorhead","MS",2870,"1999-03-05",0
"2019-05-20 01:17:51","gas_transport",45.15,"Education officer, museum","Freedom","WY",471,"1967-08-02",0
"2020-06-01 23:39:05","health_fitness",110.74,"Accountant, chartered certified","Annapolis","MD",92106,"1943-05-28",0
"2019-07-25 09:18:40","food_dining",55.98,"Retail buyer","East Rochester","NY",8019,"1928-06-26",0
"2019-12-29 12:24:57","travel",2.21,"Administrator, arts","West Palm Beach","FL",459921,"1969-09-08",0
"2019-12-09 07:31:21","shopping_net",2.96,"Scientist, audiological","Fields Landing","CA",276,"1929-05-06",0
"2019-07-15 19:58:45","health_fitness",31.98,"Retail merchandiser","Cochranton","PA",5507,"1973-07-28",0
"2019-10-24 23:36:56","health_fitness",76.63,"Operations geologist","Kensington","MD",19054,"1976-09-08",0
"2019-10-14 21:18:24","shopping_net",1220.73,"Drilling engineer","Matawan","NJ",30770,"1993-04-29",0
"2019-03-10 00:43:03","gas_transport",57.06,"Mining engineer","Oconto Falls","WI",5548,"1975-09-11",0
"2020-05-19 08:07:49","grocery_net",51.82,"Trading standards officer","Beasley","TX",2457,"1981-03-04",0
"2020-03-29 13:06:12","health_fitness",50.04,"Engineer, technical sales","Surrency","GA",1324,"1926-07-12",0
"2019-08-04 11:17:45","grocery_net",20.31,"Illustrator","Rhame","ND",475,"1955-11-10",0
"2019-01-27 01:42:11","grocery_net",36.62,"Designer, ceramics/pottery","Ruckersville","VA",9815,"1975-07-07",0
"2019-04-15 07:04:15","gas_transport",54.78,"Administrator","Lohrville","IA",695,"1954-07-15",0
"2019-08-11 15:22:10","misc_pos",72,"Building surveyor","Cleveland","TX",34153,"1995-09-11",0
"2019-03-03 12:11:44","shopping_net",5.06,"Market researcher","Methuen","MA",47249,"1980-11-22",0
"2019-07-25 00:45:34","misc_pos",7.63,"Licensed conveyancer","Watertown","MN",5619,"1959-01-15",0
"2019-05-16 02:06:19","shopping_pos",127.3,"Human resources officer","Red Cliff","CO",277,"1985-04-03",0
"2019-12-28 21:17:33","personal_care",48.42,"Teacher, special educational needs","Powell","TN",25459,"1969-02-22",0
"2019-12-31 15:11:33","home",7.09,"Engineer, biomedical","Diamond","OH",2644,"1983-08-25",0
"2019-07-07 20:38:31","home",257.04,"Facilities manager","Fulton","OH",267,"2005-01-29",0
"2019-12-28 23:14:06","shopping_pos",15.16,"Sub","Hurricane","WV",21902,"1980-09-18",0
"2019-02-10 06:37:45","shopping_pos",94.04,"Therapist, occupational","Carlotta","CA",1139,"1951-01-15",0
"2019-09-20 18:09:39","shopping_net",10.57,"Social researcher","Brunson","SC",1725,"1974-12-05",0
"2019-09-29 09:39:54","grocery_pos",66.07,"Therapist, horticultural","Meadville","MS",2799,"1961-01-21",0
"2019-01-25 19:33:51","home",69.03,"Heritage manager","Port Ewen","NY",2471,"1966-01-21",0
"2019-05-06 19:54:42","shopping_pos",3.13,"Counsellor","Oolitic","IN",1228,"1991-03-13",0
"2019-11-03 14:10:53","health_fitness",30.65,"Building surveyor","Nokomis","IL",3458,"1985-12-08",0
"2020-01-27 04:10:33","gas_transport",38.25,"Research officer, trade union","Georgetown","MN",346,"1976-12-14",0
"2019-07-14 20:02:04","kids_pets",31.42,"Claims inspector/assessor","Hinesburg","VT",4542,"1998-03-19",0
"2020-05-30 09:06:28","misc_net",1.76,"Radio producer","Sheffield","MA",2121,"1973-10-14",0
"2019-12-06 18:24:31","home",74.68,"Make","Scarborough","ME",18760,"1933-04-02",0
"2019-02-02 05:47:36","grocery_pos",138.55,"Chief Technology Officer","Holliday","TX",2317,"1964-08-23",0
"2019-05-31 02:12:47","grocery_pos",86.57,"Agricultural consultant","Graniteville","VT",970,"1993-09-29",0
"2019-10-07 03:12:50","shopping_pos",9.3,"Heritage manager","Port Ewen","NY",2471,"1966-01-21",0
"2019-05-22 13:20:47","health_fitness",2.08,"Counsellor","Oolitic","IN",1228,"1991-03-13",0
"2019-07-15 21:09:47","kids_pets",47.98,"Airline pilot","Napa","CA",94014,"1985-08-21",0
"2020-02-24 19:25:48","misc_pos",13.36,"Scientist, research (maths)","Fayetteville","NC",238602,"1993-05-14",0
"2019-06-08 13:20:23","entertainment",29.61,"Licensed conveyancer","Ruidoso","NM",8874,"2000-08-16",0
"2019-04-07 20:57:11","misc_net",1.01,"Scientist, research (physical sciences)","Logan","IL",324,"1976-06-15",0
"2020-04-26 14:35:10","kids_pets",232.51,"Mechanical engineer","Randolph","OH",51,"1960-08-05",0
"2020-03-11 20:06:19","kids_pets",28.37,"Sports development officer","Tyler","TX",144160,"1984-05-04",0
"2020-01-11 18:29:21","misc_pos",12.45,"Media buyer","Edmond","OK",116001,"1993-05-10",0
"2019-06-02 18:54:35","travel",4.97,"Land/geomatics surveyor","Arnold","MO",35439,"1985-03-31",0
"2019-06-08 23:05:21","entertainment",78.83,"Glass blower/designer","Oak Hill","NY",277,"1971-12-12",0
"2019-07-13 04:51:13","misc_net",60.58,"IT trainer","Barneveld","NY",1684,"1994-03-01",0
"2019-11-09 02:43:51","grocery_net",61.66,"Health promotion specialist","Monmouth Beach","NJ",3279,"1978-10-05",0
"2019-06-30 13:48:29","health_fitness",16.59,"Town planner","Key West","FL",32891,"1987-02-13",0
"2019-12-29 13:27:27","personal_care",56.29,"Surgeon","Conway","NH",3807,"1999-10-25",0
"2019-03-04 16:29:03","food_dining",60.67,"Archaeologist","Prosperity","SC",8333,"1994-07-09",0
"2020-05-03 21:07:17","health_fitness",12.18,"Accountant, chartered certified","Annapolis","MD",92106,"1943-05-28",0
"2019-09-27 01:42:26","misc_pos",47.94,"Systems analyst","Grenada","CA",589,"1945-12-21",0
"2019-10-24 01:38:04","gas_transport",40.89,"Tree surgeon","Uledi","PA",328,"1983-07-25",0
"2019-03-26 13:09:25","food_dining",59.91,"Musician","Burbank","WA",3684,"1981-11-29",0
"2019-12-29 12:22:30","food_dining",6.8,"Sales professional, IT","Edisto Island","SC",2408,"1997-07-05",0
"2019-10-20 21:09:34","kids_pets",37.27,"Audiological scientist","Parsonsfield","ME",1892,"1956-03-02",0
"2019-01-03 15:31:35","travel",11.49,"Waste management officer","Tampa","FL",717255,"1966-09-16",0
"2020-06-13 00:34:45","grocery_pos",97.67,"Insurance risk surveyor","Remer","MN",2097,"1987-10-27",0
"2019-03-11 18:04:21","personal_care",88.54,"Exercise physiologist","Heislerville","NJ",526,"1940-09-06",0
"2020-04-12 18:22:27","kids_pets",141.6,"Hospital doctor","Milford","OH",31394,"1996-11-12",0
"2019-02-13 06:56:40","grocery_pos",189.56,"Engineer, control and instrumentation","Walnut Ridge","AR",7155,"1977-03-23",0
"2019-07-30 15:06:27","entertainment",90.36,"Landscape architect","Cisco","IL",478,"1960-01-13",0
"2019-11-14 17:28:41","kids_pets",71.41,"Interpreter","Ruth","NV",450,"1946-08-24",0
"2020-03-09 16:05:09","travel",7.21,"Energy engineer","Corriganville","MD",626,"1960-12-13",0
"2019-04-15 00:10:22","misc_pos",8.9,"Structural engineer","North Haverhill","NH",1966,"1947-10-27",0
"2019-04-18 20:52:19","personal_care",6.11,"Higher education careers adviser","Cape Coral","FL",156391,"1968-02-09",0
"2020-04-18 00:10:53","misc_pos",411.85,"Network engineer","Valentine","NE",4005,"1945-03-15",0
"2020-04-15 06:39:21","shopping_net",7.05,"Scientist, biomedical","Sterling City","TX",1143,"1962-03-19",0
"2020-05-28 15:20:14","entertainment",9.42,"Comptroller","Cottekill","NY",722,"1990-10-19",0
"2019-02-15 12:26:06","kids_pets",133.47,"Further education lecturer","Pueblo","CO",151815,"1988-01-04",0
"2019-10-03 22:04:29","personal_care",88.21,"Pension scheme manager","Grassflat","PA",489,"1956-09-15",0
"2019-05-25 20:00:03","food_dining",57.88,"Music tutor","Tyaskin","MD",470,"1965-04-07",0
"2019-10-01 12:43:27","health_fitness",151.83,"Architectural technologist","Llano","NM",247,"1961-10-24",0
"2020-03-25 20:23:17","home",86.46,"Claims inspector/assessor","Avera","GA",741,"1986-04-28",0
"2019-03-03 20:10:24","health_fitness",60.27,"Quarry manager","River","KY",571,"1931-03-07",0
"2019-05-27 06:59:02","grocery_pos",177.31,"Learning disability nurse","Goodrich","MI",6951,"1985-06-18",0
"2020-05-12 13:05:00","travel",14238.11,"Public librarian","Jelm","WY",100,"1974-04-16",0
"2020-02-10 02:01:59","food_dining",39.82,"Radio producer","Coleman","TX",5908,"1962-04-05",0
"2019-05-31 18:52:10","personal_care",90.67,"Development worker, community","Tamaroa","IL",2135,"1961-01-31",0
"2019-12-14 03:35:19","shopping_net",8.62,"Applications developer","North Prairie","WI",2328,"1942-01-06",0
"2019-02-28 15:32:48","shopping_pos",8.82,"Mudlogger","Arlington","VA",207410,"1984-07-03",0
"2020-06-05 12:18:28","entertainment",63.43,"Drilling engineer","Matawan","NJ",30770,"1993-04-29",0
"2019-09-22 16:46:31","food_dining",8.26,"Surveyor, land/geomatics","Red River","NM",606,"1988-09-06",0
"2019-12-08 19:30:53","shopping_pos",1.67,"Lecturer, further education","Stanchfield","MN",2607,"1995-12-04",0
"2019-03-16 21:56:33","health_fitness",5.08,"Prison officer","Alpharetta","GA",165556,"1997-12-27",0
"2020-03-27 15:49:37","kids_pets",8.58,"Futures trader","American Fork","UT",42384,"1992-12-29",0
"2019-06-19 09:02:35","gas_transport",70.14,"Engineer, civil (contracting)","Waupaca","WI",15426,"1936-07-22",0
"2020-06-14 13:42:16","home",1.16,"Scientific laboratory technician","Dongola","IL",2263,"1984-09-13",0
"2019-06-08 18:55:08","food_dining",142.33,"Pensions consultant","Westport","KY",564,"1996-04-10",0
"2019-03-31 13:38:29","entertainment",86.16,"Therapist, horticultural","Sula","MT",218,"1995-08-16",0
"2019-01-24 22:42:35","shopping_net",3.22,"Secondary school teacher","Topeka","KS",163415,"2004-12-30",0
"2019-08-19 16:52:56","kids_pets",22.27,"Energy engineer","Corriganville","MD",626,"1960-12-13",0
"2020-01-06 12:29:32","health_fitness",65.68,"Engineer, electronics","Bowdoin","ME",3224,"1997-08-22",0
"2019-07-05 04:34:57","gas_transport",79.98,"Archaeologist","Lolita","TX",911,"1970-01-18",0
"2019-08-04 20:43:04","home",4.14,"Intelligence analyst","Meridian","ID",84106,"1971-02-11",0
"2019-10-16 14:58:55","home",72.19,"Sub","Hurricane","WV",21902,"1980-09-18",0
"2019-05-25 18:13:20","home",51.45,"Teacher, secondary school","Joliet","IL",128354,"1992-01-20",0
"2020-04-26 18:35:11","home",42.61,"Paramedic","Haw River","NC",6006,"1984-07-20",0
"2020-06-13 14:31:26","kids_pets",39.88,"Electrical engineer","Pointe Aux Pins","MI",95,"1994-02-09",0
"2020-04-18 18:21:43","kids_pets",90.62,"Theatre director","Ozawkie","KS",2661,"1948-11-14",0
"2019-01-11 17:13:29","shopping_pos",3.78,"General practice doctor","Rockwood","PA",3684,"1976-01-10",0
"2019-02-17 04:13:40","gas_transport",49,"Regulatory affairs officer","Whaleyville","MD",718,"1985-03-19",0
"2019-12-05 04:08:48","gas_transport",58.78,"English as a second language teacher","Wilmington","NC",186140,"1983-02-08",0
"2020-03-01 13:07:07","entertainment",127.3,"Airline pilot","Napa","CA",94014,"1985-08-21",0
"2019-08-19 23:16:14","health_fitness",50.52,"Historic buildings inspector/conservation officer","West Palm Beach","FL",459921,"1960-06-14",0
"2020-03-02 07:24:54","grocery_pos",180.11,"Copywriter, advertising","Houston","TX",2906700,"1984-12-16",0
"2019-02-02 16:01:13","personal_care",33.99,"Risk analyst","Bagley","WI",878,"1974-11-20",0
